============================================================================================================
Arguments =
	approach: path_integral
	batch_size: 100
	clipping: 10000
	datasets: ['mnist']
	eval_on_train: False
	exp_name: None
	fix_bn: False
	gpu: 3
	gridsearch_tasks: -1
	keep_existing_head: False
	last_layer_analysis: False
	log: ['disk']
	lr: 0.05
	lr_factor: 1.0
	lr_min: 0.0001
	lr_patience: 5
	momentum: 0.9
	multi_softmax: False
	nc_first_task: 2
	nepochs: 100
	network: resnet18
	no_cudnn_deterministic: False
	num_tasks: 5
	num_workers: 4
	pin_memory: False
	pretrained: False
	results_path: ../mnist_path_integral_result5t
	save_models: False
	seed: 123
	stop_at_task: 0
	use_valid_only: False
	warmup_lr_factor: 1.0
	warmup_nepochs: 0
	weight_decay: 0.0002
============================================================================================================
Approach arguments =
	damping: 0.1
	lamb: 0.1
============================================================================================================
Exemplars dataset arguments =
	exemplar_selection: random
	num_exemplars: 0
	num_exemplars_per_class: 0
============================================================================================================
WARNING: ../mnist_path_integral_result5t/mnist_path_integral already exists!
[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  5.4s | Train: skip eval | Valid: time=  0.6s loss=0.007, TAw acc= 99.8% | *
| Epoch   2, time=  4.3s | Train: skip eval | Valid: time=  0.4s loss=0.002, TAw acc= 99.9% | *
| Epoch   3, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch   4, time=  3.3s | Train: skip eval | Valid: time=  0.7s loss=0.004, TAw acc= 99.8% |
| Epoch   5, time=  3.4s | Train: skip eval | Valid: time=  0.4s loss=0.002, TAw acc= 99.9% |
| Epoch   6, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.004, TAw acc= 99.8% |
| Epoch   7, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch   8, time=  3.7s | Train: skip eval | Valid: time=  0.4s loss=0.001, TAw acc= 99.9% | *
| Epoch   9, time=  3.6s | Train: skip eval | Valid: time=  0.4s loss=0.003, TAw acc= 99.9% |
| Epoch  10, time=  3.5s | Train: skip eval | Valid: time=  0.4s loss=0.001, TAw acc=100.0% | *
| Epoch  11, time=  3.4s | Train: skip eval | Valid: time=  0.6s loss=0.002, TAw acc= 99.9% |
| Epoch  12, time=  3.4s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% |
| Epoch  13, time=  3.9s | Train: skip eval | Valid: time=  0.5s loss=0.002, TAw acc= 99.8% |
| Epoch  14, time=  3.3s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% |
| Epoch  15, time=  3.3s | Train: skip eval | Valid: time=  0.6s loss=0.003, TAw acc= 99.9% | lr=5.0e-02
| Epoch  16, time=  3.5s | Train: skip eval | Valid: time=  0.5s loss=0.001, TAw acc= 99.9% |
